,m
142,0.99982
143,0.82396
144,0.7689699999999999
145,0.9998600000000001
146,0.91099
147,0.9766799999999999
148,1.0022
149,0.7806
150,1.001
151,0.86795
152,0.9990000000000001
153,0.92429
154,0.9989899999999999
155,0.8389200000000001
156,0.9986700000000001
157,0.6675800000000001
158,0.8579
159,0.8835700000000001
160,1.0006
161,0.8432700000000001
162,0.88766
163,0.9997299999999999
164,0.9978
165,1.0001
166,0.99936
167,0.9991
168,0.99931
169,1.0017
170,0.8937299999999999
171,0.8707600000000001
172,0.81706
173,0.9986799999999999
174,0.9995299999999999
175,0.8717
176,0.8269799999999999
177,1.0003
178,0.94976
179,0.857
180,0.72326
181,1.0005
182,0.7952600000000001
183,1.0005
184,0.89305
185,1.0018
186,0.8930100000000001
187,1.0001
188,1.0011
189,0.93365
190,0.9989399999999999
191,0.94095
192,1.0003
193,0.8284799999999999
194,0.8541700000000001
195,0.80899
196,1.0007
197,0.83099
198,0.8683
199,0.99984
200,0.9998799999999999
201,0.99769
202,0.79379
203,0.8371700000000001
204,1.0001
205,0.74864
206,0.99992
207,0.95725
208,0.86639
209,0.8185100000000001
210,0.9999399999999999
211,0.8822399999999999
212,0.86606
213,0.99955
214,0.9435
215,0.90851
216,0.76188
217,0.79504
218,1.0003
219,0.9989100000000001
220,0.9991399999999999
221,0.9975200000000001
222,0.8694799999999999
223,0.99964
224,1.0013
225,0.8651399999999999
226,0.9010600000000001
227,0.79907
228,0.8157399999999999
229,1.0008
230,0.87185
231,0.78515
232,0.78764
233,0.99845
234,0.99946
235,0.99926
236,0.9497
237,1.0015
238,1.0016
239,0.8045800000000001
240,0.9992700000000001
241,0.87928
242,0.8919799999999999
243,1.0006
244,0.84511
245,0.99976
246,0.79355
247,0.8214
248,0.9990700000000001
249,0.78404
250,0.84605
251,1.0001
252,1.002
253,0.99984
254,0.80114
255,0.9023899999999999
256,0.8583200000000001
257,1.0014
258,0.8640200000000001
259,0.9239299999999999
260,0.8219200000000001
261,0.9981700000000001
262,1.0006
263,0.87139
264,0.83636
265,0.9465600000000001
266,0.9987799999999999
267,0.8230200000000001
268,0.8429399999999999
269,0.9992
270,0.84739
271,0.80697
272,0.772
273,0.86151
274,0.84606
275,1.0008
276,1.0
277,0.8411299999999999
278,0.99966
279,0.99874
280,0.74095
281,0.9996700000000001
282,0.99956
283,0.9032899999999999
284,1.0001
285,0.85139
286,0.8753799999999999
287,0.82047
288,0.9988600000000001
289,0.8643200000000001
290,0.8522299999999999
291,0.9998100000000001
292,1.0004
293,0.7981600000000001
294,0.88781
295,0.84803
296,0.78092
297,0.90161
298,0.75659
299,0.83765
300,1.0011
301,1.0006
302,0.9998600000000001
303,0.99992
304,0.9994
305,0.90586
306,1.0012
307,0.8566799999999999
308,1.0003
309,0.7777
310,0.9283799999999999
311,0.9013899999999999
312,0.99884
313,0.7661899999999999
314,0.903
315,0.8383299999999999
316,1.0009
317,0.8523
318,0.82463
319,0.8860899999999999
320,0.99277
321,0.9999
322,0.99849
323,0.8290000000000001
324,1.0004
325,1.0003
326,0.9996299999999999
327,1.0003
328,0.99895
329,0.8902200000000001
330,0.84706
331,0.8705700000000001
332,1.0014
333,1.0008
334,1.0003
335,0.77168
336,1.0005
337,0.99834
338,0.83511
339,0.90543
340,0.86765
341,0.9991399999999999
342,0.8333299999999999
343,0.91851
344,0.99975
345,0.88526
346,0.9989
347,0.75134
348,0.9990000000000001
349,0.9996
350,0.99992
351,0.99961
352,0.77149
353,1.0018
354,0.99956
355,0.8532299999999999
356,0.99826
357,1.0007
358,0.89292
359,0.8420700000000001
360,1.0002
361,0.8699899999999999
362,0.77569
363,1.0018
364,0.8518899999999999
365,0.77852
366,0.76274
367,0.99859
368,0.76153
369,0.9990100000000001
370,0.81361
371,0.99915
372,1.0026
373,0.81482
374,0.90946
375,0.99795
376,0.7734300000000001
377,0.76823
378,1.0003
379,0.86569
380,1.0002
381,0.8819899999999999
382,1.0002
383,0.7941199999999999
384,1.0019
385,0.8486899999999999
386,1.001
387,1.0003
388,1.0004
389,1.001
390,0.9988799999999999
391,1.0008
392,0.9982
393,0.92815
394,1.0002
395,1.003
396,0.9999
