,meaPhase12,powRatio23,meaPhase13,stdF23,stdF12,WL3,stdF13,meaPhase23,bandPow23v,rmsF23
0,0.5429407088721275,0.6082930111833883,0.3109924143464593,0.35932591063846564,0.7412098049551924,0.5449384003650348,0.35797302340459564,0.94026992480443,0.25514087857482687,0.3489284787829594
1,0.17771561375510475,0.6042661368710012,0.009002585401590001,0.3547645025173189,0.6804691618344755,0.356032853138648,0.3535613371008157,0.001189219233399273,0.4426679706084474,0.3470958888061388
2,0.1434128048447484,0.12582112987470762,0.006710415641098191,0.8977823932275577,0.6923568590081505,0.19290354822588704,0.8975849016367222,0.002301248831161194,0.06502088068932704,0.8746140264261149
3,0.17090116931740262,0.33928018286495554,0.007927143615763582,0.6958855310031155,0.5450002027492802,0.1797362188470982,0.6945686943541078,0.0018367982684316842,0.5772030448802665,0.6549216337665164
4,0.594986559221345,0.7020219822475726,0.31240721431700047,0.2864222523102809,0.6536474595515186,0.7032787953849162,0.2847870128485366,0.06016236341011733,0.2821430459375165,0.2684702476088467
5,0.2512722925781416,0.21876502066843978,0.012037040626078056,0.8068565719769168,0.632141843396456,0.5875822958086174,0.8060457429226422,0.002683521312412842,0.15703071311518735,0.7770934620888178
6,0.13441992269276742,0.17119022441546236,0.0073431994635388565,0.8345142166077321,0.6641620372247679,0.16357038871868412,0.8339286666311243,0.002426222526955002,0.15181582703388485,0.8161468749738501
7,0.38555313506920635,0.4896177139744288,0.018103005190184,0.5038410474149829,0.688287174080532,0.466138669795537,0.5025217252225835,0.003630774667569313,0.19247502246656442,0.47961975849978666
8,0.4066275478315746,0.5034821247369714,0.3093838061607755,0.4900818950218868,0.5186732087101091,0.47243552136974987,0.48827104547635547,0.005188955108319507,0.3260400697785061,0.4660468774842472
9,0.1356153328033884,0.28521912818705203,0.007146871741599382,0.7276510719966348,0.6442003568387332,0.2537361753905656,0.7266567148264648,0.002051170164683038,0.5061320505365544,0.6994217718383638
10,0.3021626607280472,0.2041315516817808,0.014666824297348313,0.8020979848303603,0.7197315599529621,0.37433674467114264,0.8015007730447299,0.003246126110798896,0.606147909287942,0.7823987682317599
11,0.43233189924573867,0.3543905747642089,0.99172438921341,0.6767420766894956,0.5720875065893516,0.7827607935162852,0.6753212134136589,0.06974280492170568,0.37145689062747794,0.6371254278135277
12,0.4866168680255102,0.6052808664722659,0.31027532395043156,0.342237061769616,0.7166558533717206,0.5582752102209765,0.34101935277496404,0.007178373564492663,0.2680446159539039,0.3410374634946403
13,0.43878225938578985,0.5316382008310101,0.022114874005279332,0.444047165222878,0.5309192652366084,0.4524911457314821,0.44228821240070376,0.004911531882141928,0.2831289316487815,0.42843275901023403
14,0.2487775869706366,0.24591170784332575,0.012555477601584573,0.7547355829269254,0.7378578524796237,0.3527084283944984,0.7538612251426134,0.0024909410479910807,0.17679864671988157,0.734734692852899
15,0.27066087368095293,0.3954678971598253,0.012818862965963398,0.6031338319771797,0.650764364786505,0.47411294352823585,0.6017913312363384,0.0020952785279043816,0.1524158164613839,0.5777193877977959
16,0.24587322584755789,0.11305155894510843,0.012373104071135364,0.8952453564339515,0.6533519524755687,0.37328075092888335,0.8950391853707949,0.0027561163268813044,0.09493841518211127,0.8811494272110323
17,0.5064351899609822,0.3526751476698604,0.31035284723648865,0.6332650217554191,0.6182028303799522,0.42061099884840186,0.631502905581916,0.060204371375090035,0.1988740286514775,0.6148146908445813
18,0.23253214560944677,0.1795964580596234,0.012014365064906368,0.8355001117347811,0.7686580025140911,0.34529474393238163,0.8351548755131417,0.002689428682487129,0.09988370248982395,0.8130339824104834
19,0.13979623415474793,0.2817263220858568,0.006733866435130449,0.7565351701654989,0.6709419731559954,0.3103491732394672,0.7556192354854188,0.0020825448635220295,0.35062404186710366,0.7168606645858263
20,0.23512199858007124,0.1373089370974461,0.011994790435176962,0.8746335756444468,0.6546328210534853,0.39402364035373616,0.8740470224449538,0.002820309748355224,0.30114975947560396,0.8567232621775185
21,0.24056505882995444,0.48462951688189615,0.30874423905080484,0.548110367673156,0.5763807225984348,0.6828324967950807,0.5464533240923388,0.002799962140321568,0.3926494687318285,0.5051672342953734
22,0.13312135536447872,0.3990867433588618,0.0062439192672499,0.588416389520592,0.7388903531892462,0.3299415509636486,0.587316735085568,0.001940242882176979,0.2533356240418671,0.5670376475904371
23,0.1239949756366924,0.4127092212217344,0.006369506990662318,0.6075887634246053,0.5556445399618831,0.2688699128696521,0.6062683264914432,0.0020029922798549624,0.1747237934133319,0.5711136958904798
24,0.24269009751391105,0.4966300295873789,0.012059909995464885,0.5120778725697684,0.7207716637605937,0.5920344175738217,0.5107599829397025,0.002167217167920145,0.25270920336205527,0.48010510196396744
25,0.38342930999957525,0.2586973008192606,0.31882226623822124,0.745497088323058,0.6974230566481489,0.5033504986637116,0.7446806525563789,0.07428097788766361,0.5320822540571972,0.723806096918069
26,0.23482041542018361,0.346980912402132,0.01303321485191114,0.6605510496496786,0.7523990308584405,0.41497685939638873,0.6595790904728901,0.002473875312220918,0.16743405402547967,0.6326477159569216
27,0.2610314508152454,0.5021789983016631,0.01250721935601406,0.5153720768209483,0.7653582579781841,0.6635377963192317,0.5139281334968279,0.0018591149998234357,0.5378574826875298,0.4795528145736927
28,0.11769631728732924,0.48835731299601587,0.006328225840836936,0.5756799390059548,0.6510887636348891,0.49028746496317055,0.5742856000426507,0.0018408677900384157,0.24306972564360096,0.5172004050107528
29,0.1253056791082362,0.5027397699234146,0.006302643156438113,0.5358103400680925,0.6980135639268481,0.503089759468092,0.5345697606227009,0.001896659618517794,0.18604165565364486,0.49002953900738894
30,0.24117429322135717,0.48239177107700193,0.012356824181063384,0.5235221432045535,0.6405863509184542,0.4988766486322056,0.5221317374846723,0.0022525458467709597,0.3799466088703283,0.4936194070441746
31,0.50565847679266,0.320168017859241,0.3095194719113753,0.6687523825798903,0.7044431997891407,0.43599287312865304,0.6675707735778642,0.059824986941430264,0.6182798540994873,0.6511300971523727
32,0.23276151871696693,0.6681834203864518,0.011906607697287071,0.3146977245540467,0.636384372085479,0.25156552158703255,0.3135096230740524,0.0009189242337780011,0.4161309932864619,0.2975657514874104
33,0.47490548978440145,0.35202465258862864,0.31161260063491564,0.6477896231251561,0.6381178784315316,0.5923299219955239,0.6463653569334115,0.06258307239166966,0.793571919437543,0.6242178020635465
34,0.5194572716736349,0.6054464276177354,0.31161260063491564,0.35784049531371176,0.6485341227038643,0.7044955782978075,0.35621368022604893,0.06213936326164543,0.614130147486388,0.3496062860346602
35,0.34489098709321164,0.6773640529368411,0.018388872307519368,0.27804871636454453,0.5575453144641336,0.3599787062990244,0.27664338646905157,0.002909314124141151,0.41736268964423534,0.275139536245952
36,0.24342676140949168,0.2680541758793433,0.012241120676623238,0.7308151380910441,0.7082777462390009,0.3788377550355257,0.7300434504451672,0.0023691179495702263,0.6241211608606017,0.7104424156715731
