,k
976,0.8460200000000001
977,0.8329700000000001
978,0.82786
979,0.93101
980,0.8264799999999999
981,0.9998
982,1.0008
983,0.86606
984,0.83152
985,0.8431700000000001
986,1.0007
987,0.8624200000000001
988,0.99946
989,0.9982
990,1.0014
991,0.99987
992,0.7996300000000001
993,1.0006
994,0.77712
995,0.99918
996,1.0003
997,0.8079
998,1.0001
999,0.8266399999999999
1000,0.9993299999999999
1001,1.0011
1002,0.99992
1003,0.86001
1004,0.82894
1005,1.0003
1006,1.0003
1007,0.87959
1008,0.8414799999999999
1009,0.84345
1010,1.0004
1011,0.99936
1012,0.8815799999999999
1013,0.80109
1014,1.001
1015,0.88856
1016,1.0004
1017,0.88986
1018,0.81798
1019,0.9993
1020,1.0005
1021,0.9991200000000001
1022,1.0014
1023,0.89046
1024,0.9988
1025,1.0008
1026,1.0004
1027,0.89079
1028,0.81809
1029,0.8157399999999999
1030,0.88151
1031,1.0001
1032,0.8343700000000001
1033,0.9071
1034,0.99879
1035,0.83829
1036,0.9990399999999999
1037,0.8495799999999999
1038,0.87035
1039,0.8559399999999999
1040,0.78357
1041,0.8566600000000001
1042,0.8461799999999999
1043,0.9995700000000001
1044,0.86161
1045,0.99959
1046,0.9999
1047,0.99975
1048,0.84395
1049,0.7589
1050,0.99966
1051,0.73659
1052,0.8295399999999999
1053,0.82321
1054,0.83186
1055,0.9988799999999999
1056,0.8448200000000001
1057,0.78767
1058,0.92019
1059,0.82619
1060,0.86167
1061,0.7974100000000001
1062,0.89807
1063,0.94283
1064,0.8801899999999999
1065,0.87305
1066,0.8824
1067,0.99859
1068,0.81697
1069,0.99945
1070,0.99954
1071,1.0016
1072,1.0008
1073,1.0006
1074,0.99775
1075,0.9990700000000001
1076,0.80138
1077,0.9996
1078,0.89118
1079,0.9990700000000001
1080,0.8573
1081,0.88433
1082,0.99961
1083,1.0007
1084,0.9992700000000001
1085,0.85329
1086,1.0008
1087,1.002
1088,1.0012
1089,0.76418
1090,0.7674300000000001
1091,0.9995799999999999
1092,0.99765
1093,1.0002
1094,1.0003
1095,1.0027
1096,0.8527
1097,0.75446
1098,1.0008
1099,0.99759
1100,0.86446
1101,0.99972
1102,0.87236
1103,0.84914
1104,0.9991899999999999
1105,0.99918
1106,0.80181
1107,0.8574799999999999
1108,0.8466100000000001
1109,0.85634
1110,0.8491200000000001
1111,0.9004200000000001
1112,1.0007
1113,0.9999600000000001
1114,0.83878
1115,0.8215100000000001
1116,0.99955
1117,0.7802
1118,0.8216899999999999
1119,0.9995299999999999
1120,0.84555
1121,0.7925800000000001
1122,0.89751
1123,1.001
1124,0.80829
1125,0.87211
1126,1.0009
1127,0.86261
1128,0.8516600000000001
1129,0.90527
1130,0.86951
1131,0.88889
1132,0.76376
1133,0.9812799999999999
1134,0.9997
1135,0.8465299999999999
1136,1.0006
1137,0.87256
1138,0.8261700000000001
1139,0.80801
1140,0.82258
1141,0.74897
1142,1.0013
1143,1.0016
1144,1.0003
1145,1.0004
1146,1.0009
1147,0.99972
1148,1.0008
1149,0.8251700000000001
1150,1.0001
1151,0.82836
1152,1.0016
1153,0.8620899999999999
1154,0.9993299999999999
1155,0.99977
1156,0.84231
1157,0.86231
1158,0.8888
1159,0.9999899999999999
1160,0.87682
1161,0.80615
1162,0.99939
1163,0.88613
1164,1.0006
1165,0.9169299999999999
1166,0.8387399999999999
1167,0.85772
1168,1.0
1169,1.0004
1170,0.8294299999999999
1171,0.80858
1172,1.0002
1173,0.8389
1174,0.8822
1175,0.8771899999999999
1176,1.0001
1177,1.0001
1178,0.99956
1179,0.86013
1180,0.99802
1181,0.85706
1182,0.8055100000000001
1183,1.0002
1184,0.9999399999999999
1185,0.88129
1186,0.9934799999999999
1187,1.0007
1188,0.9976
1189,0.9996700000000001
1190,0.8700899999999999
1191,0.9996200000000001
1192,1.0017
1193,0.9995299999999999
1194,0.8373200000000001
1195,0.80823
1196,0.99856
1197,0.8623799999999999
1198,0.7781399999999999
1199,0.81381
1200,0.8206700000000001
1201,1.0006
1202,1.0007
1203,0.94514
1204,0.9983299999999999
1205,0.99045
1206,0.9176
1207,0.99982
1208,1.0002
1209,0.99845
1210,0.88308
1211,0.8238700000000001
1212,0.99964
1213,0.99946
1214,1.0001
1215,0.99966
1216,0.8438200000000001
1217,1.0009
1218,1.0008
1219,0.82075
1220,1.0011
1221,0.83995
1222,0.9989299999999999
1223,0.8913399999999999
1224,0.8557
1225,0.81165
1226,0.99997
1227,0.8650899999999999
1228,0.8446799999999999
1229,0.74829
1230,0.99895
1231,0.90751
1232,0.9995299999999999
1233,0.99918
1234,0.9986200000000001
1235,0.9999
1236,0.8385299999999999
1237,1.0005
1238,0.9996
1239,1.0011
1240,0.9995
1241,1.0004
1242,0.84439
1243,0.90199
1244,0.81696
1245,0.87534
1246,0.89692
1247,0.73531
1248,1.0004
1249,0.87084
1250,0.99935
1251,0.8261
1252,0.7862899999999999
1253,0.8325100000000001
1254,0.9998
1255,0.99834
1256,1.0003
1257,0.99808
1258,0.81313
1259,0.82505
1260,0.9989100000000001
1261,0.99944
1262,1.001
1263,0.73777
1264,0.8055
1265,1.0001
1266,0.80269
1267,0.92563
1268,0.83986
1269,0.9039799999999999
1270,0.99985
1271,0.9994
1272,1.002
1273,0.87726
1274,0.83401
1275,0.73419
1276,0.9991899999999999
1277,0.99946
1278,1.0012
1279,1.002
1280,0.87765
1281,1.0002
1282,1.0022
1283,1.001
1284,0.78481
1285,0.99929
1286,0.8821100000000001
1287,0.8266899999999999
1288,0.8598899999999999
1289,0.99876
1290,0.99975
1291,1.0008
1292,0.9989
1293,0.99984
1294,0.86925
1295,0.7673399999999999
1296,0.89743
1297,0.9282299999999999
1298,0.86039
1299,0.9168
1300,0.99855
1301,0.74545
1302,0.99916
1303,0.88902
1304,1.0001
1305,1.0015
1306,0.99782
1307,1.0017
1308,1.0001
1309,1.0013
1310,1.0011
1311,1.0001
1312,0.8053
1313,0.8557299999999999
1314,0.90333
1315,1.0015
1316,0.81919
1317,1.0007
1318,0.89955
1319,1.0014
1320,0.9995200000000001
1321,0.9047299999999999
1322,0.9997799999999999
1323,0.81262
1324,1.0003
1325,0.84352
1326,0.85282
1327,0.82195
1328,0.9991700000000001
1329,1.0006
1330,0.9996200000000001
1331,0.9979899999999999
1332,0.81107
1333,0.84778
1334,0.9263
1335,0.99872
1336,1.0016
1337,0.85519
1338,0.83095
1339,1.0005
1340,0.9986799999999999
1341,0.8221299999999999
1342,0.9968299999999999
1343,1.0003
1344,0.9109
1345,0.93848
1346,1.0001
1347,0.7509600000000001
1348,1.0015
1349,0.87756
1350,0.88141
1351,1.0001
1352,0.86387
1353,0.73969
1354,0.8367
1355,0.87718
1356,1.0002
1357,0.8499399999999999
1358,1.0012
1359,0.8764799999999999
1360,0.9446700000000001
1361,0.99876
1362,1.0015
1363,1.0009
1364,0.8678899999999999
1365,0.8277399999999999
1366,0.99859
1367,0.8333
1368,0.8042
1369,0.9986299999999999
1370,1.0011
1371,0.9095799999999999
1372,0.8722
1373,0.99859
1374,0.9445399999999999
1375,0.9996799999999999
1376,0.85414
1377,0.99946
1378,0.99903
1379,0.8386299999999999
1380,1.0005
1381,0.9685
1382,0.89576
1383,0.99997
1384,1.0006
1385,0.99977
1386,0.8363700000000001
1387,1.0013
1388,0.8035800000000001
1389,0.9989899999999999
1390,0.79986
1391,0.81055
1392,1.0003
1393,0.9987299999999999
1394,0.9990100000000001
1395,0.7881199999999999
1396,1.0013
1397,0.9985
1398,0.84931
1399,0.8469899999999999
1400,0.78967
1401,1.0006
1402,0.79509
1403,0.82531
1404,1.0001
1405,0.7330899999999999
1406,1.0001
1407,1.0003
1408,0.9978600000000001
1409,0.8346100000000001
1410,0.99982
1411,0.92714
1412,0.89484
1413,0.99624
1414,1.0002
1415,0.8903200000000001
1416,0.99936
1417,0.83305
1418,0.8252299999999999
1419,0.99969
1420,0.8358
1421,1.0017
1422,0.9999
1423,1.0007
1424,1.0005
1425,0.99874
1426,0.9999100000000001
1427,0.99782
1428,0.8046
1429,0.9994299999999999
1430,0.90814
1431,0.91285
1432,1.0
1433,0.7752600000000001
1434,1.001
1435,1.0005
1436,0.86145
1437,0.99877
1438,1.0018
1439,0.8250200000000001
1440,1.0004
1441,1.0002
1442,0.8321799999999999
1443,0.8447
1444,0.86645
1445,0.99866
1446,1.0031
1447,0.7519100000000001
1448,0.99859
1449,0.99905
1450,0.81475
1451,1.0009
1452,0.9999299999999999
1453,0.89241
1454,0.9985
1455,1.0008
1456,0.77785
1457,0.99936
1458,1.0016
1459,0.90399
1460,1.0013
1461,0.924
1462,0.85898
1463,0.86839
1464,0.99924
1465,0.8811700000000001
1466,1.0001
1467,1.0019
1468,1.0005
1469,0.88987
1470,0.9989299999999999
1471,1.0004
1472,0.85219
1473,0.71333
1474,0.82037
1475,1.0004
1476,0.8682
1477,1.0
1478,1.0015
1479,0.9732200000000001
1480,1.0007
1481,1.0007
1482,0.76432
1483,1.0009
1484,0.9996
1485,0.8422700000000001
1486,0.9993
1487,1.0001
1488,0.99954
1489,0.91384
1490,0.8675200000000001
1491,0.9183
1492,0.8053
1493,1.0008
1494,1.0009
1495,1.0002
1496,0.90395
1497,0.8885299999999999
1498,0.99987
1499,1.0004
1500,0.9996200000000001
1501,1.0001
1502,0.84816
1503,1.0004
1504,0.99861
1505,0.82414
1506,0.8597799999999999
1507,1.0007
1508,0.99982
1509,0.9993700000000001
1510,1.0003
1511,0.8389700000000001
1512,1.0006
1513,0.80752
1514,0.99934
1515,0.8928299999999999
1516,0.91456
1517,0.86946
1518,0.9990700000000001
1519,0.8608100000000001
1520,0.89949
1521,0.85649
1522,0.9018200000000001
1523,0.87787
1524,0.82609
1525,0.86903
1526,0.87515
1527,0.8912
1528,1.0001
1529,0.8366899999999999
1530,1.0008
1531,1.0
1532,0.8627
1533,0.8372
1534,0.82571
1535,0.9986299999999999
1536,1.0003
1537,0.8808299999999999
1538,1.0007
1539,0.99992
1540,0.9986200000000001
1541,0.8722
1542,0.99949
1543,0.9999
1544,0.87093
1545,0.85245
1546,0.99951
1547,0.77263
1548,1.0006
1549,0.77875
1550,0.9479299999999999
1551,0.9994700000000001
1552,1.0013
1553,1.0016
1554,0.78433
1555,0.78942
1556,0.85359
1557,0.99926
1558,1.0
1559,0.8921
1560,0.9994200000000001
1561,0.8459399999999999
1562,1.0006
1563,1.0014
1564,0.9276
1565,0.8970899999999999
1566,0.99895
1567,0.82532
1568,1.0008
1569,0.9990399999999999
1570,0.93774
1571,1.0002
1572,1.0011
1573,0.96039
1574,0.85995
1575,1.0
1576,0.79206
1577,0.8870100000000001
1578,0.8613799999999999
1579,1.0012
1580,0.90094
1581,0.87959
1582,0.9987299999999999
1583,0.99955
1584,0.9983700000000001
1585,0.99923
1586,0.9993299999999999
1587,1.001
1588,0.99989
1589,0.9499299999999999
1590,0.83949
1591,0.82996
1592,0.9996700000000001
1593,0.8783799999999999
1594,0.99936
1595,0.99955
1596,0.81491
1597,0.8540700000000001
1598,0.99874
1599,0.9998
1600,0.9999899999999999
1601,0.8165
1602,1.0001
1603,0.8477100000000001
1604,0.8056
1605,0.87964
1606,0.7839
1607,1.0012
1608,0.99976
1609,1.0013
1610,0.9247700000000001
1611,0.89736
1612,0.7371300000000001
1613,0.84295
1614,0.8156100000000001
1615,0.9142600000000001
1616,0.99946
1617,0.8668299999999999
1618,0.8072699999999999
1619,0.87746
1620,0.82616
1621,0.88023
1622,1.0008
1623,1.0013
1624,0.8524299999999999
1625,0.83206
1626,0.8342200000000001
1627,0.99877
1628,1.002
1629,1.0013
1630,0.83078
1631,1.0015
1632,0.8904200000000001
1633,0.9991899999999999
1634,0.99979
1635,0.91069
1636,0.83424
1637,0.75064
1638,0.99974
1639,0.9980600000000001
1640,0.99916
1641,0.99934
1642,0.88323
1643,1.0003
1644,0.99829
1645,0.99876
1646,1.0012
1647,1.0
1648,0.8864299999999999
1649,0.99974
1650,1.0006
1651,0.86331
1652,0.99992
1653,0.9990899999999999
1654,0.86944
1655,0.8188300000000001
1656,0.99913
1657,1.0014
1658,0.8272799999999999
1659,0.9993200000000001
