,stdF2,WL2,stdF3,WL1,rmsF3,meaPhase12,rmsF2,freRatio3,powRatio3,rmsF12
0,0.8732449646290161,0.5423797424744843,0.8601245649301096,0.4014847169603119,0.6282454344308311,0.5429407088721275,0.6168626144879267,0.1716015851867036,0.1774174696761123,0.6650437124927743
1,0.410843968130861,0.36550320830282934,0.4037541645727475,0.10186854011108254,0.4483933819887057,0.17771561375510475,0.4483996669442132,0.4848826483550272,0.5027142152151892,0.750002085804018
2,0.5584855108228162,0.20068687825675033,0.5648696186275057,0.4385938132195535,0.4079752980416762,0.1434128048447484,0.3998900915903414,0.020923439581838676,0.3594945585828939,0.7756630175028755
3,0.5758772239065548,0.18550450023685455,0.5892521451039515,0.2067477103027182,0.37961758198210094,0.17090116931740262,0.3685428809325562,0.2631768644733696,0.4114308719254045,0.8815799667463246
4,0.816378763308186,0.70136945006675,0.7863388054423288,0.44147018795747967,0.5320134737954492,0.594986559221345,0.5234171523730224,0.21553756277544328,0.2840341809303654,0.7043998545896628
5,0.8581435521398859,0.5899509065070411,0.825361084743239,0.7237834259020856,0.5601773389253987,0.2512722925781416,0.5515650291423814,0.017614703973215823,0.2721189060024415,0.8386076364264814
6,0.6151730945498133,0.166767150424185,0.6448759469168203,0.5280354581233677,0.3946765298371916,0.13441992269276742,0.38009658617818487,0.015493150216938284,0.40405444014441183,0.7947711872992415
7,0.8587764694822442,0.4632530898755437,0.848841364676978,0.3761174458380844,0.6169842475479673,0.38555313506920635,0.6053055786844296,0.16729869153769944,0.19089763902236306,0.7743869226047522
8,0.7897670920585679,0.4741527066017829,0.7884234183929868,0.378311325265752,0.4773587398038373,0.4066275478315746,0.4631140716069942,0.1689207748283284,0.36359315342458637,0.8731890751544985
9,0.551763848739101,0.2618405753412859,0.568801533679528,0.4076617501011513,0.346970047224332,0.1356153328033884,0.33545378850957536,0.07158450343343242,0.45475442196306587,0.8077979273067504
10,0.9064114315260055,0.3709810085698291,0.9136770152809575,0.5917901938426454,0.6387140451107954,0.3021626607280472,0.6228809325562031,0.01254996412831813,0.19150022077348638,0.7741664233228647
11,0.8557865049707398,0.7815770208001379,0.8170379883485026,0.6776216574097914,0.5827304910670056,0.43233189924573867,0.5757635303913405,0.021125004270438313,0.2400922053972624,0.848695776544836
12,0.8430353474817271,0.5515309418199045,0.8338067917434437,0.3653657998308015,0.8064561936527854,0.4866168680255102,0.8002098251457119,0.14623552321410271,0.25276346068933275,0.7048825692337949
13,0.8292939904580603,0.4500043064467508,0.8355086827851919,0.37094309780409757,0.5323205970740728,0.43878225938578985,0.5166128226477935,0.16162498718868507,0.29867535908158227,0.8543691634734001
14,0.8437834496697926,0.3493217346367512,0.8583591583375212,0.5815831095744289,0.5064231696443313,0.2487775869706366,0.4881498751040799,0.020132554405384195,0.3504467416430742,0.7548173133652363
15,0.8858234036052552,0.4724559665819732,0.8685414223760866,0.40065380512745064,0.6843961560054158,0.27066087368095293,0.674714404662781,0.14828413788391243,0.10723098101348016,0.8116304432035567
16,0.9209640649603987,0.369413461952543,0.9167853220913135,0.7190936844815536,0.7223374393183843,0.24587322584755789,0.71033139050791,0.007808069420245312,0.08934832861484115,0.8247167776115757
17,0.9051258548967075,0.4166211618793334,0.9069811268077503,0.5194633464523486,0.6687956144116772,0.5064351899609822,0.6548109908409658,0.01789655290218989,0.14922209812732135,0.7526021894982748
18,0.8487454464264732,0.34363291847896305,0.8503059448694326,0.6629639165777761,0.5326772563653775,0.23253214560944677,0.5173222314737719,0.014437497864780824,0.3167437209423132,0.7465593172865478
19,0.5257232837434489,0.3193101072305241,0.5242475850131219,0.32345974178835474,0.3435190383408737,0.13979623415474793,0.33599999999999997,0.09772300228895495,0.4356380353757045,0.7931770370855955
20,0.8883875061693578,0.3929878127556953,0.8875495560891172,0.797936513774966,0.5821134374690399,0.23512199858007124,0.5671328159866778,0.008812476512589235,0.26666969689098985,0.8143819166751093
21,0.7175468283625939,0.688816157788209,0.6913144229158523,0.4105491595247729,0.38833592021399554,0.24056505882995444,0.3790108243130724,0.2191230227870589,0.4595594919612478,0.8695657356034827
22,0.4643822416508027,0.3423840489212351,0.4605924395555308,0.3506970243130908,0.3706449588851094,0.13312135536447872,0.36647793505412163,0.08297120016398485,0.4183397833822498,0.7167180171751063
23,0.5022679733953794,0.2781964601007708,0.5005397658532955,0.1771802699819767,0.35836993494270325,0.1239949756366924,0.3519567027477103,0.3391582111987975,0.4285473104594686,0.8558411451660003
24,0.7839737714164847,0.5939429826450197,0.757524149868781,0.42273145253246036,0.4801393613156764,0.24269009751391105,0.47077102414654454,0.1940640907382734,0.3478818731980987,0.7656980590103755
25,0.9098944746057488,0.4977994057103484,0.9046289575073985,0.6524257917386986,0.6963541494666622,0.38342930999957525,0.6842664446294754,0.01201018072494961,0.11281525155190772,0.7785897581063284
26,0.8673881877364922,0.41213664355540247,0.8654687121931245,0.3652793614595211,0.6380997985535484,0.23482041542018361,0.625165695253955,0.1548062929179051,0.1738578218747565,0.750938313836032
27,0.7684504923734989,0.667736100943112,0.7295284493829918,0.45770772795821535,0.45281529672071585,0.2610314508152454,0.4455253955037469,0.22042465238632097,0.37780706994623514,0.734951519955185
28,0.4429011257608876,0.5024352956375695,0.43730340424739894,0.2572884099017913,0.26058914831082197,0.11769631728732924,0.25431473771856783,0.38423695808137753,0.5357393314459364,0.8061745758368545
29,0.4716679592939906,0.5149067654278455,0.45170491559178816,0.21900540699599075,0.35064231696443304,0.1253056791082362,0.3480699417152373,0.42649721567421683,0.42344354692085917,0.7616724572559163
30,0.6307692307692309,0.5016429094354249,0.6219265918439518,0.21371979254790893,0.6966810871503583,0.24117429322135717,0.6956003330557868,0.28095726145331557,0.26948390950884393,0.8212102430855598
31,0.9065641965733626,0.42964988587916114,0.917620563217749,0.560104093868393,0.7117664542122122,0.50565847679266,0.6971823480432973,0.0127634860442076,0.09273785096491,0.6997514913498728
